id,name,tel,employee_count,homepage_link,address,sales_amount,corporate_number
1,株式会社第一エコシステム,0532-57-3921,11,,愛知県豊橋市下地町字宮前11番地1,100000000,6180301024625
2,有限会社新和産業,0561-76-6711,12,,愛知県瀬戸市水南町37,100000000,5180002071827
3,株式会社光製作所,0567-68-8378,12,,愛知県弥富市西末広3-52,100000000,4180001097031
4,吉浜工業株式会社,052-604-0600,12,,愛知県東海市富木島町伏見2-1-8,100000000,7180001094612
5,杉浦塗装工業株式会社,0565-57-2221,12,,愛知県豊田市駒新町金山1-16,100000000,2180301018473
6,株式会社井本業務店,0569-48-0305,20,,愛知県知多郡阿久比町大字卯坂字米山48番地の1,100000000,4180001092296
7,クロガネ工業株式会社,052-331-8200,10,,愛知県名古屋市中区千代田3-3-12,100000000,5180001035642
8,西村運輸株式会社,052-431-0434,10,,愛知県名古屋市中川区富田町千音寺東川岸塚1543,100000000,9180001020491
9,有限会社西野工業,0569-21-4780,13,,愛知県半田市柊町5-14-6,100000000,5180002083756
10,株式会社タカイ,0586-76-3552,20,,愛知県一宮市西大海道字戌亥7番地の2,100000000,2180001083017
11,有限会社丸田運送店,0561-39-1585,10,,愛知県愛知郡東郷町春木台1-9-7,100000000,4180002062109
12,株式会社中部納品代行,052-586-9551,10,,愛知県名古屋市中村区名駅南2-11-39 名駅ドットマンション1F,100000000,6180001006337
13,尾張東部運送株式会社,052-846-0501,10,,愛知県日進市岩崎町大塚75番地の4,100000000,3180001066763
14,有限会社河合鉄工所,052-821-8891,15,,愛知県名古屋市瑞穂区内浜町26-26,100000000,8180002009403
15,大栄自動車工業株式会社,052-653-1335,15,,愛知県名古屋市港区川西通4-18,100000000,3180001006678
16,有限会社中日設備,0567-74-3888,11,,愛知県弥富市六條町芝切157-1,100000000,9180002090146
17,金鯱物流株式会社,0568-75-0387,27,,愛知県小牧市大字東田中字東島2090番地の1,100000000,8180001075727
18,株式会社ワンダー名古屋,052-353-8500,13,,愛知県名古屋市中川区押元町2-115-3,100000000,5180001021353
19,有限会社福島製作所,0561-34-1659,15,,愛知県みよし市三好町八和田山5-133,100000000,6180302024252
20,有限会社石川スプリング,052-692-0882,10,,愛知県名古屋市南区豊2-41-5,100000000,2180002013170
21,株式会社オサラギ,052-412-2508,19,,愛知県名古屋市中村区稲西町164-2,100000000,8180001029781
22,有限会社青木組,052-443-2303,12,,愛知県海部郡大治町大字西條字柳原68番地の6,100000000,9180002091895
23,株式会社安東興業,0562-33-0828,30,,愛知県東海市横須賀町天宝新田14-1,100000000,4180001094160
24,有限会社三宅運輸,052-501-1571,22,,愛知県名古屋市西区中小田井2-294,100000000,3180002024811
25,株式会社品川製作所,052-442-0360,14,,愛知県あま市篠田新割21-1,100000000,8180001098414
26,有限会社都運送,052-811-5660,12,,愛知県名古屋市南区元鳴尾町49,100000000,9180002014922
27,有限会社榊原技建,0569-26-0609,10,,愛知県半田市瑞穂町4-2-9,100000000,4180002083451
28,株式会社名建社,0567-31-4011,20,,愛知県津島市金柳町字神様田28番地,100000000,1180001097554
29,有限会社メイナントランスポート,0566-85-2780,10,,愛知県知立市山屋敷町山屋敷25-71,100000000,5180302019716
30,株式会社昭和建材,0566-76-5647,10,,愛知県安城市昭和町13-10,100000000,8180301012933
31,有限会社市原物流,052-614-7453,16,,愛知県名古屋市南区大同町1-11 市原金属産業株式会社内,100000000,7180002013190
32,有限会社藤松運送店,052-381-1640,10,,愛知県名古屋市港区小碓1-225,100000000,1180002007025
33,三鈴総業株式会社,0561-36-3020,10,,愛知県みよし市福谷町蔵屋敷8,100000000,2180301019802
34,有限会社ドゥイット,0566-98-0880,21,,愛知県安城市今池町1-17-4 グローリアス新安城505号,100000000,8180302017691
35,有限会社進工舎,052-731-0817,12,,愛知県名古屋市千種区今池2-16-1,100000000,6180002004356
36,株式会社サカン元建設,0566-41-2972,12,,愛知県碧南市浅間町2-78,100000000,8180301016562
37,株式会社山本製作所,0532-31-8985,10,,愛知県豊橋市菰口町1-11,100000000,3180301007467
38,株式会社鈴木敏商店,0533-86-2524,10,,愛知県豊川市南大通5-56,100000000,6180301009907
39,株式会社光化工,0564-25-3104,13,,愛知県岡崎市大平町字西田潰5番地,100000000,9180301001720
40,有限会社フジメカトニック,0533-80-2866,15,,愛知県豊川市南千両2-71,100000000,1180302013904
41,日本ウエス株式会社,0564-21-1246,33,,愛知県岡崎市大平町字欠下90番地,100000000,4180301001634
42,澤井電機工業株式会社,0564-31-9737,10,,愛知県岡崎市矢作町字赤池28番地1,100000000,7180301002712
43,河口運送有限会社,0532-21-3000,10,,愛知県豊橋市東細谷町字深田45番地の3,100000000,2180302007079
44,株式会社桜坂設計,0536-22-3855,15,,愛知県新城市橋向15,100000000,9180301024226
45,有限会社中野商店,0564-48-7134,10,,愛知県岡崎市本宿町城屋敷81,100000000,6180302002233
46,株式会社シービーテック,0533-89-6544,12,,愛知県豊川市金塚町1-58,100000000,5180301011913
47,株式会社ドゥイットコーポレーション,0566-98-0880,30,,愛知県安城市今池町1-17-4 グローリアス新安城505,100000000,5180301027843
48,有限会社モアモス,0263-25-3655,10,,長野県松本市野溝東1-1-36,100000000,6100002021870
49,有限会社セントラルハイテック,0265-79-7678,10,,長野県上伊那郡箕輪町大字中箕輪4237番地7,100000000,9100002034861
50,有限会社大共,0266-23-6263,11,,長野県岡谷市4769-29,100000000,6100002031440
51,有限会社信興鍍金工業所,0263-26-9675,13,,長野県松本市大字笹賀5652番地92,100000000,7100002020228
52,有限会社サンセイ,0265-73-5133,24,,長野県伊那市美篶9580,100000000,9100002032824
53,長野電設工事保守株式会社,0268-24-3663,10,,長野県上田市天神4-27-4,100000000,7100001010080
54,株式会社キーロック,0267-82-6934,13,,長野県佐久市臼田2295-3,100000000,2100001007189
55,有限会社春原工業所,0268-24-3198,17,,長野県上田市下塩尻240-1,100000000,1100002014251
56,有限会社高和,026-221-0104,18,,長野県長野市大豆島前河原5917-1,100000000,9100002001721
57,株式会社小田中通信,0267-25-6585,14,,長野県小諸市大字滋野甲4077番地1,100000000,5100001008390
58,有限会社北美,011-875-3660,10,,北海道札幌市白石区川下5条2-2-11,100000000,8430002018238
59,株式会社佐々木建具工業,011-702-0107,10,,北海道札幌市東区北四十二条東6丁目1番16号,100000000,7430001006665
60,株式会社近藤自動車整備工場,011-741-1251,11,,北海道札幌市東区北31条東1-3-26,100000000,2430001006182
61,有限会社紅洋,011-771-7911,16,,北海道札幌市北区篠路1条8-2-19,100000000,8430002007562
62,株式会社まつむら,0126-26-1579,15,,北海道岩見沢市上幌向南1条5-698,100000000,4430001046672
63,足達工業株式会社,011-781-6876,20,,北海道札幌市東区北丘珠四条2丁目6番3号,100000000,5430001000793
64,株式会社田中運送,0126-22-3539,18,,北海道岩見沢市北4条西18-1-22,100000000,1430001047467
65,株式会社マルミ三浦工業,011-852-4486,13,,北海道札幌市白石区栄通20-3-13,100000000,4430001023795
66,有限会社雄進建設運輸,0126-66-3838,10,,北海道美唄市字茶志内3079番地の11,100000000,6430002050507
67,有限会社晃伸産業,0144-57-9120,15,,北海道苫小牧市字沼ノ端255番地37,100000000,4430002058551
68,有限会社佐藤ブロック,011-891-2245,10,,北海道札幌市厚別区厚別町山本1080-12,100000000,5430002027695
69,有限会社シンカイ輸送,0144-57-1949,20,,北海道苫小牧市新開町4-3-1,100000000,4430002058816
70,株式会社札幌トータル・クリエイトクリスプ,011-738-0730,10,,北海道札幌市北区北七条西4丁目4番1号,100000000,4430001038570
71,株式会社アースウォール,011-762-4186,10,,北海道札幌市北区新琴似7条15-6-6,100000000,6430001040104
72,株式会社ＣＩＴＹＲＥＡＬＥＳＴＡＴＥ,011-676-7100,10,,北海道札幌市西区山の手二条12丁目11番38号,100000000,5430001044816
73,ネイチャーテック釧路株式会社,0154-57-7766,12,,北海道釧路市星が浦南6-6-13,100000000,9460001003724
74,三協運輸株式会社,0156-62-2533,11,,北海道上川郡清水町南4条西4-11-1,100000000,3460101003084
75,株式会社日北自動車,0157-36-9155,13,,北海道北見市大正204-1,100000000,1460301000791
76,株式会社イナコーポレーション,0157-66-1517,50,,北海道北見市東相内町9-367,100000000,1460301001204
77,光紀株式会社,0158-42-1114,13,,北海道紋別郡遠軽町2条通南1-4-2,100000000,8460301000356
78,株式会社美広社,0166-23-7780,12,,北海道旭川市永山8条1-1-14,100000000,8450001002488
79,安田自動車株式会社,0163-62-2397,10,,北海道枝幸郡枝幸町南浜町636-9,100000000,2450001007798
80,株式会社キングハイヤー,0135-62-1303,30,,北海道岩内郡岩内町字万代9番地の1,100000000,9430001051998
81,有限会社丸清運輸,0136-23-2456,12,,北海道虻田郡倶知安町字岩尾別136番地,100000000,2430002057225
82,株式会社創営社,0143-24-7546,19,,北海道室蘭市海岸町2-3-19,100000000,4430001056795
83,有限会社中栄運輸,0143-86-6313,13,,北海道登別市栄町3-1-2,100000000,9430002065452
84,三浦造園株式会社,0144-74-0609,11,,北海道苫小牧市桜木町2-24-12,100000000,7430001053914
85,有限会社道大産業,0144-53-7022,27,,北海道苫小牧市柳町1-1-34,100000000,6430002060497
86,株式会社小野製作所,022-384-1950,10,,宮城県名取市田高字原327番1,100000000,2370801000052
87,株式会社深堀自動車,0220-34-3953,11,,宮城県登米市中田町上沼字北桜場55番地,100000000,9370401000405
88,有限会社大柳電気,0220-34-5836,10,,宮城県登米市中田町上沼字大柳104番地,100000000,1370402001541
89,新宮物流株式会社,022-259-5121,10,,宮城県仙台市宮城野区蒲生1-4-5,100000000,3370001005215
90,有限会社宮沢製作所,0229-28-3733,15,,宮城県大崎市古川宮沢裏馬田町47-2,100000000,2370202001105
91,株式会社大島工業,022-397-8426,21,,宮城県仙台市太白区八木山東2-24-15 レオパレス104,100000000,8370001021653
92,株式会社ユニフレックス,047-438-9750,11,,千葉県船橋市金杉1-7-23,100000000,6040001019039
93,有限会社藤田金物店,0436-61-1341,10,,千葉県市原市姉崎387,100000000,5040002074942
94,株式会社大金建設,047-335-2301,20,,千葉県市川市八幡1-20-2,100000000,5040001026713
95,東栄運送有限会社,043-243-0755,10,,千葉県千葉市中央区神明町15-11,100000000,6040002008024
96,山野屋建設興業株式会社,0439-55-5611,10,,千葉県君津市大山野177-1,100000000,8040001052203
97,有限会社菅原鉄工,0436-41-3339,13,,千葉県市原市八幡海岸通9 王子コーンスターチ千葉工場内,100000000,1040002073782
98,株式会社山長,0475-42-5555,10,,千葉県長生郡一宮町一宮2416,100000000,1040001059832
99,水上工業株式会社,0436-61-6858,10,,千葉県市原市姉崎1708-16,100000000,6040001054597
100,株式会社メック,043-256-4400,10,,千葉県千葉市中央区弁天1-30-1 千葉ゴールデンマンション315,100000000,9040001007486
101,有限会社菱友運輸,0470-66-1213,10,,千葉県いすみ市下布施915,100000000,8040002101900
102,株式会社相和テクノサービス,0436-62-8062,10,,千葉県市原市姉崎781,100000000,6040001055182
103,豊四季工業株式会社,04-7144-4681,11,,千葉県柏市高田1116番地の54,100000000,6040001066122
104,大光電機株式会社,047-337-1828,10,,千葉県市川市南大野2-19-15,100000000,9040001034803
105,有限会社三奈工芸,043-276-3795,12,,千葉県千葉市美浜区浜田2-24,100000000,2040002011329
106,有限会社丸石運輸倉庫,047-457-1065,12,,千葉県船橋市神保町167,100000000,8040002025422
107,伊富運輸有限会社,0479-82-2704,10,,千葉県山武郡横芝光町屋形5274,100000000,1040002086322
108,有限会社大久保工業,0479-67-3000,10,,千葉県匝瑳市野手17146-177,100000000,6040002083430
109,押田運送有限会社,0479-55-2042,10,,千葉県旭市蛇園3737-1,100000000,7040002084741
110,有限会社岩井製作所,0479-72-4234,13,,千葉県匝瑳市西小笹1675番地,100000000,9040002082941
111,有限会社石神運送,047-410-8717,12,,千葉県船橋市古和釜町362,100000000,7040002020473
112,三興有限会社,0436-21-5412,20,,千葉県市原市島野1047-1,100000000,3040002073376
113,有限会社千秋商事,043-246-7387,13,,千葉県千葉市美浜区新港208,100000000,8040002007305
114,丸吉自動車興業有限会社,0475-82-2216,10,,千葉県山武市白幡1607,100000000,9040002079847
115,株式会社光工業,0439-54-8040,20,,千葉県君津市常代1-19-4,100000000,5040001052734
116,サンエーテクノス株式会社,04-7198-2350,11,,千葉県野田市木間ケ瀬2490-3 サンコーテクノ内,100000000,8030001052402
117,有限会社八木塗装工業,054-368-4473,11,,静岡県静岡市清水区尾羽123-1,100000000,4080002013179
118,有限会社栄運送,053-594-2474,15,,静岡県湖西市新居町新居3-2,100000000,4080402009685
119,株式会社富士工,0545-35-0626,10,,静岡県富士市大淵市十窪2540-1,100000000,7080101009389
120,有限会社服部製作所,0558-94-2525,10,,静岡県沼津市戸田795-1,100000000,6080102003929
121,有限会社大塚技研,0545-51-5022,10,,静岡県富士市津田199,100000000,1080102013544
122,株式会社田中工業,0545-61-0542,15,,静岡県富士市松本65-1,100000000,8080101009017
123,志太コンクリートサービス株式会社,054-641-0627,11,,静岡県藤枝市緑町2-1-25,100000000,2080001016440
124,堀池製作株式会社,054-365-2272,10,,静岡県静岡市清水区蜂ヶ谷南町9-33,100000000,8080001009109
125,中央急送株式会社,054-283-3625,14,,静岡県静岡市駿河区曲金7-2-24,100000000,6080001003369
126,株式会社サン技研工業,054-624-6758,11,,静岡県焼津市一色51,100000000,7080001015140
127,有限会社山中運送,054-627-2415,10,,静岡県焼津市東小川5-7-21,100000000,1080002016424
128,春野電工株式会社,053-434-3459,11,,静岡県浜松市東区半田町512-2,100000000,3080401004473
129,株式会社一橋工業,053-587-0753,10,,静岡県浜松市浜北区永島14,100000000,9080401010053
130,浜松ピアノ配送株式会社,053-425-3121,13,,静岡県浜松市南区金折町150,100000000,6080401004181
131,有限会社尾崎製作所,053-594-1430,18,,静岡県湖西市新居町中之郷4101,100000000,1080402009597
132,スズエ浜松株式会社,053-475-8566,10,,静岡県浜松市中区泉3-23-9,100000000,8080401002530
133,Ｒｉｓｉｎｇソーイング株式会社,053-925-1919,18,,静岡県浜松市天竜区船明2480-51,100000000,5080401012516
134,有限会社門田金属工業所,0572-57-2331,10,,岐阜県土岐市下石町304-540,100000000,1200002021080
135,株式会社各務加工所,0572-43-5634,11,,岐阜県多治見市笠原町1694番地の1,100000000,9200001028243
136,井川建材株式会社,058-239-0926,10,,岐阜県岐阜市上尻毛日吉1-1,100000000,3200001000315
137,柴田自動車株式会社,0574-25-5011,13,,岐阜県加茂郡坂祝町黒岩1081,100000000,1200001017542
138,株式会社ヒラタ,0584-66-3216,10,,岐阜県海津市平田町今尾2138,100000000,4200001015551
139,株式会社朝霧機器,058-273-1033,10,,岐阜県岐阜市朝霧町22,100000000,1200001000127
140,有限会社二村土建,0584-75-2837,10,,岐阜県大垣市南切石町1-64,100000000,9200002013120
141,有限会社ナンシン,058-247-1750,10,,岐阜県岐阜市北一色5-14-18,100000000,9200002003435
142,有限会社江口ボデーショップ,0572-54-9339,15,,岐阜県土岐市肥田町肥田2474-2,100000000,1200002021031
143,合同会社アイアル,011-841-7703,10,,北海道札幌市東区北22条東8丁目2番5号,100000000,3430003001593
144,株式会社野村設備工業所,0562-83-4518,11,,愛知県知多郡東浦町大字緒川字笠松52番地の1,99000000,1180001092852
145,株式会社藤本建商,052-355-1533,10,,愛知県名古屋市中川区打中2-94,99000000,8180001018140
146,丹羽由運輸株式会社,052-911-1166,13,,愛知県名古屋市北区上飯田南町3-90-5,99000000,6180001001049
147,近藤工事有限会社,0569-88-5111,10,,愛知県知多郡美浜町大字上野間字新居69番地の3,99000000,7180002085800
148,株式会社林業務店,052-444-9822,15,,愛知県あま市坂牧北浦12,99000000,4180001097972
149,株式会社豊橋圧送,0532-46-7339,10,,愛知県豊橋市小浜町81-6,99000000,8180301008106
150,有限会社鳶岸工業,0532-64-3761,10,,愛知県豊橋市春日町2-3-1 春日町ムラタビル202,99000000,7180302008691
151,メトバタクシー株式会社,0263-46-2862,50,,長野県松本市浅間温泉2-7-21,99000000,3100001014291
152,有限会社九島建設,011-872-8512,10,,北海道札幌市白石区川北一条3丁目5番11号,99000000,7430002006400
153,新栄電業株式会社,0138-45-0127,11,,北海道函館市亀田本町51-3,99000000,9440001002942
154,臥牛測量設計株式会社,0138-51-3036,10,,北海道函館市山の手2-57-25,99000000,7440001000378
155,有限会社梅川建設工業,0220-52-4284,10,,宮城県登米市登米町日野渡雑田原70-1,99000000,5370402000028
156,株式会社ハイブリッジ,043-258-1268,13,,千葉県千葉市花見川区千種町189-12,99000000,9040001006125
157,塩崎重機工事株式会社,0558-76-0930,10,,静岡県伊豆の国市吉田109-1,99000000,5080101004788
158,株式会社中野製作所,0561-89-7875,10,,愛知県瀬戸市赤重町69-2,98000000,7180001080133
159,株式会社コーキ,0562-46-8381,10,,愛知県大府市北崎町遠山161-2,98000000,3180001092495
160,株式会社安岡工務店,052-431-4441,10,,愛知県名古屋市中川区島井町802 ハイツ大原C号室,98000000,5180001091173
161,有限会社中鋳物流,0563-35-2393,10,,愛知県西尾市吉良町上横須賀的場3-3,98000000,6180302026892
162,三州電設有限会社,0563-57-7997,10,,愛知県西尾市矢曽根町東田面33-2,98000000,8180302026313
163,株式会社新盛工業,052-384-2341,10,,愛知県名古屋市港区稲永2-13-62 ライオンズガーデン稲永112号,98000000,9180001057212
